Label,Clustering (Chinese Whispers)
gilbertson,0
harmonies,0
mansell,0
moonlight,0
sarah,0
serenaders,0
tony,0
voices,0
gig,1
jones,1
morrissey,1
photograph,1
smiths,1
album,2
bassist,2
byrds,2
chris,2
drummer,2
drums,2
guitar,2
guitarist,2
keyboardist,2
mandolin,2
murphy,2
orchestra,2
rhythm,2
allocations,3
bands,3
broadcast,3
broadcasting,3
devices,3
frequency,3
interference,3
microwave,3
propagation,3
radio,3
radios,3
spectrum,3
transmitters,3
bass,4
clarinet,4
concert,4
ensembles,4
jazz,4
percussion,4
quartet,4
rock,4
