nodedef> name,label
v0,plane
v1,told
v2,surgeon
v3,laps
v4,danger
v5,cart
v6,treatments
v7,crash
v8,carriages
v9,trip
v10,physicians
v11,outcomes
v12,safety
v13,unaware
v14,mishap
v15,agrees
v16,sociologist
v17,passengers
v18,adversity
v19,synonyms
v20,misfortune
v21,something
v22,benefit
v23,knowing
v24,stop
v25,driver
v26,trying
v27,stopping
v28,doctors
v29,cardiac
v30,treatment
v31,recovering
v32,alive
v33,carriage
v34,freight
v35,indianapolis
v36,accident
v37,crew
v38,hospitalized
v39,injured
v40,helicopter
v41,poisoning
v42,cataclysm
v43,physician
v44,piloted
v45,belief
v46,tire
v47,cockpit
v48,takeoff
v49,kill
v50,help
v51,tragedy
v52,crashing
v53,surgery
v54,bed
v55,luck
v56,injuries
v57,tell
v58,crashes
v59,motorcycle
v60,dying
v61,leave
v62,locomotive
v63,crashed
v64,jet
v65,consequences
v66,warning
v67,pit
v68,lap
v69,train
v70,travelling
v71,pilots
v72,chest
v73,ntsb
v74,drove
v75,rail
v76,patients
v77,runway
v78,derailed
v79,suspicious
v80,accidents
v81,driving
v82,condition
v83,racer
v84,races
v85,flying
v86,acute
v87,raced
v88,investigate
v89,endurance
v90,ride
v91,fatal
v92,disaster
v93,flown
v94,freak
v95,patient
v96,catastrophe
v97,flew
v98,trouble
v99,victim
v100,hospital
v101,wreckage
v102,contrary
v103,informs
v104,racers
v105,confronts
v106,chance
v107,fortune
v108,race
v109,medication
v110,rush
v111,landing
v112,airplane
v113,clinic
v114,tunnel
edgedef> node1,node2,directed,weight,labelvisible
v11,v22,false,2,true
v11,v102,false,2,true
v12,v12,false,1,true
v12,v107,false,1,true
v21,v21,false,1,true
v21,v36,false,1,true
v21,v80,false,1,true
v22,v102,false,2,true
v80,v36,false,1,true
